Timestamp,Key,Interval_ms,Chars_per_Second,Error_Count,is_human
28/10/2024 18:46,a,"16,31","61,31",0,0
28/10/2024 18:46,t,"15,72","63,62",0,0
28/10/2024 18:46,e,"17,03","58,73",0,0
28/10/2024 18:46,a,"14,61","68,46",0,0
28/10/2024 18:46,r,"15,97","62,6",0,0
28/10/2024 18:46,[SPACE],"16,66","60,03",0,0
28/10/2024 18:46,y,"16,21","61,68",0,0
28/10/2024 18:46,[SPACE],"14,93","66,96",0,0
28/10/2024 18:46,c,"16,48","60,7",0,0
28/10/2024 18:46,a,"16,51","60,58",0,0
28/10/2024 18:46,n,"15,16","65,98",0,0
28/10/2024 18:46,c,"16,23","61,63",0,0
28/10/2024 18:46,e,"16,32","61,29",0,0
28/10/2024 18:46,l,"15,22","65,7",0,0
28/10/2024 18:46,a,"16,65","60,05",0,0
28/10/2024 18:46,r,"16,17","61,85",0,0
28/10/2024 18:46,[SPACE],"16,01","62,47",0,0
28/10/2024 18:46,f,"16,03","62,37",0,0
28/10/2024 18:46,i,"15,5","64,52",0,0
28/10/2024 18:46,s,"16,21","61,67",0,0
28/10/2024 18:46,i,"16,28","61,41",0,0
28/10/2024 18:46,c,"16,01","62,46",0,0
28/10/2024 18:46,a,"15,67","63,81",0,0
28/10/2024 18:46,[SPACE],"16,06","62,28",0,0
28/10/2024 18:46,e,"16,22","61,66",0,0
28/10/2024 18:46,k,"15,94","62,74",0,0
28/10/2024 18:46,i,"15,31","65,31",0,0
28/10/2024 18:46,s,"16,36","61,13",0,0
28/10/2024 18:46,d,"16,39","61,01",0,0
28/10/2024 18:46,e,"16,28","61,41",0,0
28/10/2024 18:46,[SPACE],"14,99","66,72",0,0
28/10/2024 18:46,d,"16,35","61,15",0,0
28/10/2024 18:46,e,"16,56","60,38",0,0
28/10/2024 18:46,[SPACE],"15,49","64,57",0,0
28/10/2024 18:46,d,"16,13",62,0,0
28/10/2024 18:46,e,"16,05","62,29",0,0
28/10/2024 18:46,,"16,32","61,29",0,0
28/10/2024 18:46,[SHIFT],"16,15","61,93",0,0
28/10/2024 18:46,),"1,01","988,14",0,0
28/10/2024 18:46,[ENTER],"14,09","70,97",0,0
28/10/2024 18:46,e,"104,82","9,54",0,0
28/10/2024 18:46,x,16,"62,5",0,0
28/10/2024 18:46,i,"15,76","63,44",0,0
28/10/2024 18:46,t,"16,63","60,14",0,0
28/10/2024 18:46,[ENTER],"15,2","65,78",0,0
28/10/2024 18:46,[Key.alt_l],"104,21","9,6",0,0
28/10/2024 18:46,[SPACE],0,0,0,0
28/10/2024 18:46,n,"16,05","62,32",0,0
28/10/2024 18:47,[CMD (WINDOWS)],"15471,92","0,06",0,0
28/10/2024 18:47,r,"0,92","1085,78",0,0
28/10/2024 18:47,p,"406,67","2,46",0,0
28/10/2024 18:47,o,18,"55,55",0,0
28/10/2024 18:47,w,15,"66,66",0,0
28/10/2024 18:47,e,15,"66,67",0,0
28/10/2024 18:47,r,16,"62,5",0,0
28/10/2024 18:47,s,17,"58,82",0,0
28/10/2024 18:47,h,15,"66,68",0,0
28/10/2024 18:47,e,16,"62,5",0,0
28/10/2024 18:47,l,16,"62,5",0,0
28/10/2024 18:47,l,16,"62,5",0,0
28/10/2024 18:47,[ENTER],16,"62,5",0,0
28/10/2024 18:47,[SHIFT],"1408,52","0,71",0,0
28/10/2024 18:47,A,0,0,0,0
28/10/2024 18:47,d,"15,65","63,9",0,0
28/10/2024 18:47,d,"16,29","61,37",0,0
28/10/2024 18:47,-,"15,66","63,86",0,0
28/10/2024 18:47,[SHIFT],"15,92","62,83",0,0
28/10/2024 18:47,T,1,999,0,0
28/10/2024 18:47,y,"15,3","65,38",0,0
28/10/2024 18:47,p,"15,86","63,07",0,0
28/10/2024 18:47,e,"16,21","61,69",0,0
28/10/2024 18:47,[SPACE],"15,29","65,4",0,0
28/10/2024 18:47,-,"16,92","59,11",0,0
28/10/2024 18:47,[SHIFT],"15,74","63,54",0,0
28/10/2024 18:47,A,0,0,0,0
28/10/2024 18:47,s,"16,15","61,93",0,0
28/10/2024 18:47,s,"15,58","64,17",0,0
28/10/2024 18:47,e,16,"62,49",0,0
28/10/2024 18:47,m,"16,03","62,4",0,0
28/10/2024 18:47,b,"15,99","62,53",0,0
28/10/2024 18:47,l,16,"62,48",0,0
28/10/2024 18:47,y,16,"62,49",0,0
28/10/2024 18:47,[SHIFT],16,"62,5",0,0
28/10/2024 18:47,N,"0,97","1027,75",0,0
28/10/2024 18:47,a,"15,02","66,56",0,0
28/10/2024 18:47,m,16,"62,5",0,0
28/10/2024 18:47,e,"15,98","62,59",0,0
28/10/2024 18:47,[SPACE],"16,02","62,42",0,0
28/10/2024 18:47,[SHIFT],"15,98","62,58",0,0
28/10/2024 18:47,S,1,1000,0,0
28/10/2024 18:47,y,15,"66,67",0,0
28/10/2024 18:47,s,16,"62,51",0,0
28/10/2024 18:47,t,"16,02","62,41",0,0
28/10/2024 18:47,e,16,"62,49",0,0
28/10/2024 18:47,m,16,"62,51",0,0
28/10/2024 18:47,.,"16,07","62,24",0,0
28/10/2024 18:47,s,"15,95","62,71",0,0
28/10/2024 18:47,p,"16,18","61,82",0,0
28/10/2024 18:47,e,"16,1","62,11",0,0
28/10/2024 18:47,e,"16,21","61,68",0,0
